Date,Price,Type
1988-06-27,15.1,Historical
1988-06-28,15.27,Historical
1988-06-29,15.47,Historical
1988-06-30,14.85,Historical
1988-07-01,14.6,Historical
1988-07-04,14.35,Historical
1988-07-05,14.3,Historical
1988-07-06,14.68,Historical
1988-07-07,15.45,Historical
1988-07-08,15.05,Historical
1988-07-11,14.5,Historical
1988-07-12,14.1,Historical
1988-07-13,14.17,Historical
1988-07-14,14.06,Historical
1988-07-15,14.18,Historical
1988-07-18,14.8,Historical
1988-07-19,15.08,Historical
1988-07-20,15.13,Historical
1988-07-21,15.45,Historical
1988-07-22,15.71,Historical
1988-07-25,15.69,Historical
1988-07-26,15.32,Historical
1988-07-27,15.42,Historical
1988-07-28,15.67,Historical
1988-07-29,15.7,Historical
1988-08-01,15.56,Historical
1988-08-02,15.38,Historical
1988-08-03,15.0,Historical
1988-08-04,14.48,Historical
1988-08-05,14.63,Historical
1988-08-08,15.3,Historical
1988-08-09,15.34,Historical
1988-08-10,15.08,Historical
1988-08-11,15.09,Historical
1988-08-12,15.2,Historical
1988-08-15,14.93,Historical
1988-08-16,15.02,Historical
1988-08-17,14.95,Historical
1988-08-18,15.03,Historical
1988-08-19,15.1,Historical
1988-08-22,15.2,Historical
1988-08-23,14.99,Historical
1988-08-24,15.09,Historical
1988-08-25,14.88,Historical
1988-08-26,14.7,Historical
1988-08-29,14.7,Historical
1988-08-30,14.65,Historical
1988-08-31,14.6,Historical
1988-09-01,14.4,Historical
1988-09-02,14.21,Historical
1988-09-05,13.99,Historical
1988-09-06,13.78,Historical
1988-09-07,13.5,Historical
1988-09-08,13.59,Historical
1988-09-09,13.72,Historical
1988-09-12,12.99,Historical
1988-09-13,13.6,Historical
1988-09-14,14.4,Historical
1988-09-15,13.95,Historical
1988-09-16,13.74,Historical
1988-09-19,13.46,Historical
1988-09-20,13.6,Historical
1988-09-21,13.52,Historical
1988-09-22,13.58,Historical
1988-09-23,13.52,Historical
1988-09-26,13.43,Historical
1988-09-27,12.98,Historical
1988-09-28,12.97,Historical
1988-09-29,12.73,Historical
1988-09-30,12.24,Historical
1988-10-03,11.85,Historical
1988-10-04,11.78,Historical
1988-10-05,11.35,Historical
1988-10-06,11.47,Historical
1988-10-07,11.49,Historical
1988-10-10,12.0,Historical
1988-10-11,12.58,Historical
1988-10-12,12.52,Historical
1988-10-13,12.71,Historical
1988-10-14,13.11,Historical
1988-10-17,13.7,Historical
1988-10-18,13.23,Historical
1988-10-19,13.49,Historical
1988-10-20,13.74,Historical
1988-10-21,13.55,Historical
1988-10-24,12.4,Historical
1988-10-25,12.3,Historical
1988-10-26,12.33,Historical
1988-10-27,12.5,Historical
1988-10-28,12.82,Historical
1988-10-31,12.74,Historical
1988-11-01,12.44,Historical
1988-11-02,12.56,Historical
1988-11-03,12.75,Historical
1988-11-04,12.95,Historical
1988-11-07,12.96,Historical
1988-11-08,12.82,Historical
1988-11-09,12.8,Historical
1988-11-10,12.95,Historical
1988-11-11,13.26,Historical
1988-11-14,13.25,Historical
1988-11-15,13.11,Historical
1988-11-16,12.78,Historical
1988-11-17,12.26,Historical
1988-11-18,12.04,Historical
1988-11-21,12.03,Historical
1988-11-22,12.8,Historical
1988-11-23,13.2,Historical
1988-11-24,12.77,Historical
1988-11-25,14.48,Historical
1988-11-28,14.58,Historical
1988-11-29,13.95,Historical
1988-11-30,14.05,Historical
1988-12-01,14.49,Historical
1988-12-02,14.5,Historical
1988-12-05,14.34,Historical
1988-12-06,14.1,Historical
1988-12-07,14.29,Historical
1988-12-08,14.7,Historical
1988-12-09,14.47,Historical
1988-12-12,14.53,Historical
1988-12-13,14.53,Historical
1988-12-14,14.6,Historical
1988-12-15,14.75,Historical
1988-12-16,14.81,Historical
1988-12-19,14.67,Historical
1988-12-20,14.82,Historical
1988-12-21,14.96,Historical
1988-12-22,14.99,Historical
1988-12-23,15.08,Historical
1988-12-26,15.08,Historical
1988-12-27,15.08,Historical
1988-12-28,15.55,Historical
1988-12-29,15.3,Historical
1988-12-30,15.52,Historical
1989-01-02,15.52,Historical
1989-01-03,15.72,Historical
1989-01-04,15.96,Historical
1989-01-05,15.91,Historical
1989-01-06,16.25,Historical
1989-01-09,16.34,Historical
1989-01-10,16.2,Historical
1989-01-11,15.8,Historical
1989-01-12,15.75,Historical
1989-01-13,16.12,Historical
1989-01-16,16.28,Historical
1989-01-17,16.43,Historical
1989-01-18,16.74,Historical
1989-01-19,17.09,Historical
1989-01-20,17.0,Historical
1989-01-23,16.2,Historical
1989-01-24,16.01,Historical
1989-01-25,16.55,Historical
1989-01-26,16.76,Historical
1989-01-27,16.3,Historical
1989-01-30,15.97,Historical
1989-01-31,15.91,Historical
1989-02-01,15.8,Historical
1989-02-02,16.12,Historical
1989-02-03,16.17,Historical
1989-02-06,15.99,Historical
1989-02-07,15.99,Historical
1989-02-08,16.18,Historical
1989-02-09,16.05,Historical
1989-02-10,15.82,Historical
1989-02-13,15.43,Historical
1989-02-14,15.67,Historical
1989-02-15,15.6,Historical
1989-02-16,15.8,Historical
1989-02-17,16.01,Historical
1989-02-20,16.24,Historical
1989-02-21,16.25,Historical
1989-02-22,16.13,Historical
1989-02-23,16.28,Historical
1989-02-24,16.15,Historical
1989-02-27,16.6,Historical
1989-02-28,16.4,Historical
1989-03-01,16.58,Historical
1989-03-02,16.72,Historical
1989-03-03,16.95,Historical
1989-03-06,17.05,Historical
1989-03-07,16.96,Historical
1989-03-08,16.84,Historical
1989-03-09,17.26,Historical
1989-03-10,17.11,Historical
1989-03-13,16.66,Historical
1989-03-14,17.24,Historical
1989-03-15,17.6,Historical
1989-03-16,17.76,Historical
1989-03-17,17.76,Historical
1989-03-20,18.0,Historical
1989-03-21,18.08,Historical
1989-03-22,18.51,Historical
1989-03-23,18.64,Historical
1989-03-24,18.64,Historical
1989-03-27,18.64,Historical
1989-03-28,19.19,Historical
1989-03-29,18.76,Historical
1989-03-30,18.97,Historical
1989-03-31,19.55,Historical
1989-04-03,19.1,Historical
1989-04-04,18.91,Historical
1989-04-05,19.25,Historical
1989-04-06,18.59,Historical
1989-04-07,18.5,Historical
1989-04-10,18.7,Historical
1989-04-11,18.46,Historical
1989-04-12,18.27,Historical
1989-04-13,18.59,Historical
1989-04-14,18.27,Historical
1989-04-17,18.63,Historical
1989-04-18,18.9,Historical
1989-04-19,19.65,Historical
1989-04-20,20.14,Historical
1989-04-21,20.27,Historical
1989-04-24,19.85,Historical
1989-04-25,19.18,Historical
1989-04-26,19.6,Historical
1989-04-27,19.19,Historical
1989-04-28,18.94,Historical
1989-05-01,18.94,Historical
1989-05-02,18.75,Historical
1989-05-03,17.78,Historical
1989-05-04,18.52,Historical
1989-05-05,18.7,Historical
1989-05-08,18.17,Historical
1989-05-09,17.75,Historical
1989-05-10,17.82,Historical
1989-05-11,17.22,Historical
1989-05-12,17.34,Historical
1989-05-15,17.36,Historical
1989-05-16,17.6,Historical
1989-05-17,17.68,Historical
1989-05-18,17.4,Historical
1989-05-19,17.34,Historical
1989-05-22,17.0,Historical
1989-05-23,16.92,Historical
1989-05-24,17.3,Historical
1989-05-25,17.55,Historical
1989-05-26,17.39,Historical
1989-05-29,17.39,Historical
1989-05-30,17.39,Historical
1989-05-31,17.75,Historical
1989-06-01,17.61,Historical
1989-06-02,17.5,Historical
1989-06-05,18.02,Historical
