Date,Price,Type
2010-01-01,2225.25,Historical
2010-01-04,2225.25,Historical
2010-01-05,2246.5,Historical
2010-01-06,2302.5,Historical
2010-01-07,2306.5,Historical
2010-01-08,2261.25,Historical
2010-01-11,2320.25,Historical
2010-01-12,2260.25,Historical
2010-01-13,2250.25,Historical
2010-01-14,2292.75,Historical
2010-01-15,2281.5,Historical
2010-01-18,2292.25,Historical
2010-01-19,2243.25,Historical
2010-01-20,2243.25,Historical
2010-01-21,2229.25,Historical
2010-01-22,2189.25,Historical
2010-01-25,2217.25,Historical
2010-01-26,2189.25,Historical
2010-01-27,2148.75,Historical
2010-01-28,2125.75,Historical
2010-01-29,2061.25,Historical
2010-02-01,2046.25,Historical
2010-02-02,2074.75,Historical
2010-02-03,2086.25,Historical
2010-02-04,2051.75,Historical
2010-02-05,1948.5,Historical
2010-02-08,1973.75,Historical
2010-02-09,2002.25,Historical
2010-02-10,2022.25,Historical
2010-02-11,2012.25,Historical
2010-02-12,2004.25,Historical
2010-02-15,2032.5,Historical
2010-02-16,2050.5,Historical
2010-02-17,2094.5,Historical
2010-02-18,2076.5,Historical
2010-02-19,2071.5,Historical
2010-02-22,2115.5,Historical
2010-02-23,2117.25,Historical
2010-02-24,2078.5,Historical
2010-02-25,2062.25,Historical
2010-02-26,2050.25,Historical
2010-03-01,2100.5,Historical
2010-03-02,2107.5,Historical
2010-03-03,2107.5,Historical
2010-03-04,2202.75,Historical
2010-03-05,2200.5,Historical
2010-03-08,2223.75,Historical
2010-03-09,2200.25,Historical
2010-03-10,2232.5,Historical
2010-03-11,2194.5,Historical
2010-03-12,2215.5,Historical
2010-03-15,2207.5,Historical
2010-03-16,2213.0,Historical
2010-03-17,2242.25,Historical
2010-03-18,2243.5,Historical
2010-03-19,2232.5,Historical
2010-03-22,2192.25,Historical
2010-03-23,2230.5,Historical
2010-03-24,2194.25,Historical
2010-03-25,2175.5,Historical
2010-03-26,2199.0,Historical
2010-03-29,2224.75,Historical
2010-03-30,2267.25,Historical
2010-03-31,2287.5,Historical
2010-04-01,2329.5,Historical
2010-04-02,2327.25,Historical
2010-04-05,2327.25,Historical
2010-04-06,2327.25,Historical
2010-04-07,2323.5,Historical
2010-04-08,2295.25,Historical
2010-04-09,2357.25,Historical
2010-04-12,2380.75,Historical
2010-04-13,2368.75,Historical
2010-04-14,2419.25,Historical
2010-04-15,2423.5,Historical
2010-04-16,2447.25,Historical
2010-04-19,2338.75,Historical
2010-04-20,2383.5,Historical
2010-04-21,2326.25,Historical
2010-04-22,2293.25,Historical
2010-04-23,2265.25,Historical
2010-04-26,2293.25,Historical
2010-04-27,2262.0,Historical
2010-04-28,2114.75,Historical
2010-04-29,2114.75,Historical
2010-04-30,2183.5,Historical
2010-05-03,2163.5,Historical
2010-05-04,2163.5,Historical
